country,name,year,format,label,type,genre,style,coverimage
Spain,"Maskara Onda* By David Max* & DJ Raül - Vol. I - Apology 2000",2000,"Vinyl,12","Bit Music, Tecnodisco, S.A., Factoria X Producciones, Factoria X Producciones, Factoria X Producciones",release,"Electronic","Hardcore, Makina",https://i.discogs.com/FaB8venZXNYmx4JIlVerBYqhhGYG9TrMVBKyNEqxZ-4/rs:fit/g:sm/q:90/h:606/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5Mjc2/OS0xNTM3Nzk5OTky/LTY5MDkuanBlZw.jpeg
US,"Zombie Nation - Kernkraft 400 (The Remixes)",2000,"Vinyl,12","Radikal Records",release,"Electronic","Trance, Techno, Electro",https://i.discogs.com/gtLuDWVi8WQfrd5ZjctjK5xT4D4TGaCPUtDYWUONuns/rs:fit/g:sm/q:90/h:292/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDI1/NC0xMTU4NDAzMjQx/LmpwZWc.jpeg
UK,"Tigerhook Corp. - We Are The Future / Welcome To The 21st Century",2000,"Vinyl,12","End Recordings",release,"Electronic","Deep House",https://i.discogs.com/P3oE4mU9UzzDrXuCHqtYdqVyRFWK1NYU1OpNXcXvCpY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzUy/LTEzODQ4NTE2NTct/ODE2MC5qcGVn.jpeg
UK,"Hardbeat Presents Lisa Pin-Up - Baddest Mutha (Remixes)",2000,"Vinyl,12","Nukleuz, Nukleuz, Media Records Ltd., Media Records Ltd., Media Songs Ltd.",release,"Electronic","Hard House",https://i.discogs.com/nAhiZgcn-ec6FLbY4rv6OwfBHolwu6WyYO7N8W2WfP8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgxMDIz/LTEyNjI1ODA5MTku/anBlZw.jpeg
US,"ADNY & The Persuader - Quarter Of A Century - Part 1 Of 3",2000,"Vinyl,12","Earthtones Recordings, Metropolis Mastering, Ltd, Minimum Studios NYC, Music, Soul, Nature Publishing",release,"Electronic","Deep House",https://i.discogs.com/FAZRsNZilIh99frjvI2B9XKyqIKsVWvvixFcPn-tsYQ/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3Ni0x/MTg3OTM3NjcyLmpw/ZWc.jpeg
Italy,"Nicola Conte - Bossa Per Due / The In Samba",2000,"Vinyl,12","Schema",release,"Electronic, Jazz","House, Latin, Latin Jazz",https://i.discogs.com/dbFs6RvoFRuV1hoOmS-ULKG91g4vtplsWnZ0daDVkqM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwNDIz/LTEzMDU5NDI3ODAu/anBlZw.jpeg
US,"K-Otix - U Know The Name",2000,"Vinyl,12","Bronx Science Recordings",release,"Hip Hop","",https://i.discogs.com/2rhMp6vpwwGQt0atHU19L-2WxXn1HkXSiE-QDQaeHBE/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwNDUx/MC0xNTk1Mjg1OTky/LTIzMTEuanBlZw.jpeg
Germany,"Ellen Allien - Last Kiss 99 EP",2000,"Vinyl,12","BPitch Control, BPitch Control, BPitch Control, Dubplates & Mastering, MPO, Neuton",release,"Electronic","Techno",https://i.discogs.com/7-pG-AYNE3if5FzTNzGecgoMrWJF0DJmd8SehLw-5lY/rs:fit/g:sm/q:90/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU4MTEt/MDAxLmpwZw.jpeg
UK,"Only Child - Satellites And Constellations",2000,"Vinyl,LP,"Grand Central Records",release,"Electronic","House, Breaks, Downtempo",https://i.discogs.com/khF0fryIjZYUAEONrd9O4YBGa4pNv5MSnfOSiU4QVA4/rs:fit/g:sm/q:90/h:184/w:200/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU4NzI2/LTAwMS5qcGc.jpeg
UK,"Wideboys* - Westside",2000,"Vinyl,12","Point Blank Records, Millennium Audio Distribution Ltd., Record Industry",release,"Electronic","UK Garage",https://i.discogs.com/azTLzXrl8kDq40BukugCbY2KxItH4p_-UE8_ejR2X8k/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMjUy/Ny0xMTY3ODIyNDk2/LmpwZWc.jpeg
UK,"Junior Jack - My Feeling (Part 2)",2000,"Vinyl,12","Defected",release,"Electronic","House",https://i.discogs.com/lhXtxyON3K92kZyozCiRCAHFAE0syMfvfSJz_rjSXEU/rs:fit/g:sm/q:90/h:579/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcyMjM1/LTExOTQ3MTE2ODQu/anBlZw.jpeg
Germany,"Tyrell Corp. - Running 2.0",2000,"Vinyl,12","Abfahrt Records, Abfahrt-Records GmBH, Abfahrt-Records GmBH, Discomania",release,"Electronic","Techno, Hard Trance",https://i.discogs.com/FQvLsPoIV3_mRiXPkkwfAR49tCWLy6Jzrp3JHnrU64g/rs:fit/g:sm/q:90/h:575/w:580/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMzc3/OS0xMTU4MzMxMDMw/LmpwZWc.jpeg
UK,"D.A.V.E. The Drummer + Syber Symon - Hydraulix 4",2000,"Vinyl,12","Hydraulix",release,"Electronic","Techno",https://i.discogs.com/WNPG2-vFdaKEngUo_v4fJeOGGHPTWgG6EDt_gDin6HY/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1NTE4/LTExOTE0Mzc5NDEu/anBlZw.jpeg
US,"Reks - Skills 101 / Science Of Life / Final Four",2000,"Vinyl,12","Brick Records",release,"Hip Hop","",https://i.discogs.com/Lv3sYjtEfbGC_KHl35SLNshqBeUsUMEitn5b-R1ODnY/rs:fit/g:sm/q:90/h:405/w:405/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0MDY2/NC0xMzg1ODQ1Njk3/LTk5NTEuanBlZw.jpeg
Italy,"Robbie Rivera Pres Rhythm Bangers - Bang",2000,"Vinyl,12","Rise",release,"Electronic","House",https://i.discogs.com/jMTBoUpYuUsYnVGtoz131_foksnE408GJN3OsCPOS5U/rs:fit/g:sm/q:90/h:603/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NDMz/Ny0xMzcwMjc5MzQ0/LTg2NjAuanBlZw.jpeg
Belgium,"Cherry Bomb - Bursting Out",2000,"Vinyl,12","Music Man Records",release,"Electronic","Techno, Tech House",https://i.discogs.com/jMgz5bGKkeURlav-soysqv6lPHyER_bI2WfMtQycRbw/rs:fit/g:sm/q:90/h:584/w:589/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NTEw/LTExMzA3NzY3MDUu/anBlZw.jpeg
US,"Savath & Savalas - Folk Songs For Trains, Trees And Honey",2000,"Vinyl,LP,"Hefty Records, Hefty Records, Hefty Records, SAE Mastering",release,"Electronic","Leftfield, Abstract, IDM",https://i.discogs.com/Irtcy_VljIfaAyGEumj_zOtEKcweQKP8ve40DlWKzJw/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0MDY2/LTE1NjE3OTU2MjEt/NzI4OC5qcGVn.jpeg
US,"Lux (2) / A601-2 - dcv09",2000,"Vinyl,12","DeepChord",release,"Electronic","Dub Techno, Minimal",https://i.discogs.com/_ABkNIfCyRmBqNcOl8erpOqHghmXtdFTCcZxn3bVD4Q/rs:fit/g:sm/q:90/h:478/w:499/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyMTcw/LTE1MTAwNzU2MjMt/MzUxMy5qcGVn.jpeg
France,"John Thomas - Funkless #2",2000,"Vinyl,12","Logistic Records",release,"Electronic","Techno",https://i.discogs.com/DMT9iLycmiZ_4PnKRwOLHdehj20BAgeFdvUuYmGgLm8/rs:fit/g:sm/q:90/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcwMTkt/MDAxLmpwZw.jpeg
US,"Buried Alive (2) / Reach The Sky - Boston-Buffalo Express",2000,"Vinyl,7","Indecision Records, Greg Lee Processing",release,"Rock","Hardcore",https://i.discogs.com/x-7ZWwJ9M3o4r07tNp70b1gko9Wk2PtMR7-fcP_yyR4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0ODE1/MDQtMTI5NzUwMjE1/Ny5qcGVn.jpeg
UK,"Wookie - What's Going On?",2000,"Vinyl,12","S2S Recordings, Universal, Exemen Productions, S2S Recordings, S2S Recordings, Soul II Soul Mad Music, Sony Music, Soul II Soul Studios",release,"Electronic","UK Garage",https://i.discogs.com/GbTuYeBiGNitWkMIY4HN-eWZvqOtivfh8_TOPj6afAM/rs:fit/g:sm/q:90/h:581/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NTEw/MzktMTY4Mjk0NTgz/OC0xMjMzLmpwZWc.jpeg
Switzerland,"Funeral Diner / Staircase (2) - The World Of The Forms",2000,"Vinyl,LP,"Ape Must Not Kill Ape, Ebullition Records, Center for Computer Research in Music and Acoustics, KZSU Stanford, Little Red Wagon Studios, Golden Mastering",release,"Rock","Hardcore, Emo",https://i.discogs.com/Xts2U4E5BqGzUQS7udRct4VYn5CcI1S8kISy7PyR4zM/rs:fit/g:sm/q:90/h:604/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNTAz/NzMtMTY2MjU4MzQ5/OC0xMjY5LmpwZWc.jpeg
UK,"Headroom - Electronic Ladyland",2000,"Vinyl,12","Compound",release,"Electronic","Techno",https://i.discogs.com/V5gKoBBcs-9Vj7O8bZdZIKFUqXQhuRqY86tDxu2Wtlg/rs:fit/g:sm/q:90/h:400/w:400/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNDEy/LTExNDIyODQxMDgu/anBlZw.jpeg
Canada,"Method Men - Disko Biscuit (Remixes)",2000,"Vinyl,12","Camouflage Recordings",release,"Electronic","House, Disco",https://i.discogs.com/81BCECz0lLQQxz7p3IFkQTlMDu--SEAidFcwTk7DTfU/rs:fit/g:sm/q:90/h:408/w:416/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkwMjgt/MTIxNDQ2NTE1Ni5q/cGVn.jpeg
Germany,"Gustavo Lamas - Mañana",2000,"Vinyl,12","Kompakt",release,"Electronic","Ambient, IDM",https://i.discogs.com/CgP85R4nj6wAYgMZWCmdIhlpM7G1-JDOUpIAO-gq5ts/rs:fit/g:sm/q:90/h:204/w:204/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4ODE5/LTE1MDYxNzQ5MDAt/MzI2MS5qcGVn.jpeg
Belgium,"Liquid Overdose - Contact",2000,"Vinyl,12","Scanner, Syndrome Produktunes",release,"Electronic","Trance, Progressive Trance",https://i.discogs.com/zFW7gJuk_9DeObaN31GzRUFram7aHR1C2ZWDpyu_n-w/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzODg2/MS0xMzg0ODAwNjA5/LTgzNDMuanBlZw.jpeg
Germany,"Dub Taylor - I Can't (Fall In Love With Another One)",2000,"Vinyl,12","Force Tracks",release,"Electronic","Dub, Deep House, Tech House",https://i.discogs.com/n1oq1KmWYlDCb5XXZNgMlfDw109swpWS0ebz4H3qZe4/rs:fit/g:sm/q:90/h:601/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg4NTct/MTYxMDgyOTk1MC02/MzExLmpwZWc.jpeg
US,"Ursula 1000 - The Now Sound Of Ursula 1000",2000,"Vinyl,LP,"Eighteenth Street Lounge Music, EFA Medien GmbH, EFA Medien GmbH, A+R Record Manufacturing Corporation, A+R Record Manufacturing Corporation",release,"Electronic","Trip Hop, Downtempo, Big Beat",https://i.discogs.com/4awYysnDHCkhW72KRUqnKNUV_WmoE1w-RTDhLeRYjmQ/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5NDMx/LTE0NTAxOTY3Mzkt/ODY4MS5tcG8.jpeg
UK,"Twisted Pair - Horny Hustle",2000,"Vinyl,12","NRK Sound Division",release,"Electronic","House",https://i.discogs.com/92Fc2ILZvp6evzJ1RHiwz-dHPtX0_IiXHUu3BIanDMc/rs:fit/g:sm/q:90/h:297/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU3MjEt/MTA5NTYzMDg5Ni5q/cGc.jpeg
Germany,"Silvio Ecomo - Standing",2000,"Vinyl,12","Jinx Records Germany",release,"Electronic","Progressive Trance, Tech House",https://i.discogs.com/uN_oh_B6xaLQ3PqZ-_lYrn-ln3Dvn8m_RLVsqzk2Ye8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNjIw/My0xMjY5NTEyMjkw/LmpwZWc.jpeg
UK,"The Delinquents - Discfunktional",2000,"Vinyl,12","Wiggle",release,"Electronic","Tech House, Acid",https://i.discogs.com/NBc0WVJuv185_2GnAuytzKl8QR_qjTTcw_8JfDy0FS8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1Mjk5/LTE2Mzg4MzM5MDAt/Mjc3OS5qcGVn.jpeg
Europe,"Sade - By Your Side",2000,"Vinyl,12","Epic, Sony Music, Sony Music Entertainment (UK) Ltd., Sony Music Entertainment (UK) Ltd., Angel Music Ltd., Epic, Epic",release,"Electronic","Synth-pop",https://i.discogs.com/M2izpNiZMt1l0CRXB-cbP2OO8pA7INplBj1WfgOjEac/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyNzI3/MC0xMzIzOTQ4MDUw/LmpwZWc.jpeg
UK,"Mario Più - Techno Harmony",2000,"Vinyl,12","Nukleuz",release,"Electronic","Trance",https://i.discogs.com/Qi1Kxr8yMIwfnUbwkj1kori96U49KIIOftU_79jc5wE/rs:fit/g:sm/q:90/h:593/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2NTAw/LTEyMTUzNzgzNjAu/anBlZw.jpeg
Spain,"Symbol (4) feat. Double X-Side - Innocence",2000,"Vinyl,12","Falco Music, Atomix",release,"Electronic","Trance, Euro House, House",https://i.discogs.com/8XEMoR9r9BI9S6PKoWr4NJVyXyJF4qY5rwYMF6PyGV0/rs:fit/g:sm/q:90/h:564/w:562/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcxNzc4/My0xMjg2ODkxNzIw/LmpwZWc.jpeg
US,"ESP* / Woody Mc Bride* - Jump In The Fire",2000,"Vinyl,12","Blueline Music",release,"Electronic","Techno",https://i.discogs.com/XLiCTX-zE2W-qyxQksMEu7isxBumncpLwNVGLnWD3oI/rs:fit/g:sm/q:90/h:472/w:508/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkwNTUt/MTIwODg3MDc5MC5q/cGVn.jpeg
US,"New York Dolls - Endless Party",2000,"Vinyl,LP,"Get Hip Recordings, Planet Studios, New York, NY",release,"Rock","Rock & Roll, Punk",https://i.discogs.com/TqWnuKzsfYcM3KThhtdyqAafi8zGGZp35ExAhUU6OyI/rs:fit/g:sm/q:90/h:602/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1OTQw/NTItMTMxMjc3NTY1/MC5qcGVn.jpeg
UK,"DJ Zinc - 138 Trek",2000,"Vinyl,12","True Playaz, True Playaz Music Ltd., True Playaz Music Ltd., MPO, True Playaz Music Publishing",release,"Electronic","UK Garage, Downtempo",https://i.discogs.com/Us9GaJRgRKrW76vtk58d6k47uei7cfsIOhBtaQewZD4/rs:fit/g:sm/q:90/h:600/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0MTk1/Ny0xMjMzOTUzNzYz/LmpwZWc.jpeg
US,"Usurp Synapse / Hassan I Sabbah - Just Do It!",2000,"Vinyl,7","Electric Human Project",release,"Rock","Grindcore, Noise, Avantgarde, Experimental, Hardcore",https://i.discogs.com/JjKNJ98Be9-WXoEBxHqwGwP6qLv6YaoGlAXMxxyKvd0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NDMy/NzQtMTQ0ODYyODAz/MC05OTQ0LnBuZw.jpeg
Sweden,"Sons Of Piru - Impure Thoughts",2000,"Vinyl,12","Evil Deception",release,"Electronic","Techno",https://i.discogs.com/TFDqdiuE38XBe_zN_TkBvwqBrzgB5ZRj2FKuWy4cAXo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4NTQ0/LTEyMzM4NDg2NTku/anBlZw.jpeg
Germany,"DJ T.T. Hacky - ! I Want You !",2000,"Vinyl,12","Chaos Records, Affix Records, ICM/Hanseatic, Affix Records",release,"Electronic","Trance, Hard Trance",https://i.discogs.com/RnIiFNiA8f3L07YHKiKKLxu2UlcQODNm_inAKTn8LVw/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzM5/LTEyMTU0MzI4MDIu/anBlZw.jpeg
US,"Steve Stoll - Run It EP.",2000,"Vinyl,12","Proper N.Y.C.",release,"Electronic","Techno",https://i.discogs.com/QWKwNEcXdn0_Hk90O14Qn6_8QhJJVA5EfSYx95d2MIA/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxMDMt/MTU3OTkzMDgyMC03/MzM4LmpwZWc.jpeg
UK,"Richard Turner - Utility Plastics Vol. 8",2000,"Vinyl,12","Utility Plastics",release,"Electronic","Techno",https://i.discogs.com/Am_qHbgsOqge7vSs4By5K829bLWFE8ThWu79DROk1kk/rs:fit/g:sm/q:90/h:600/w:579/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLXJfMzM4/MDktMDAxLmpwZw.jpeg
UK,"Science Dept.* - Persuasion / Repercussion (The Unreleased Mixes)",2000,"Vinyl,12","Bedrock Records, Bedrock Records, 7PM Management, Copyright Control, Bedrock Music Ltd., Bedrock Music Ltd.",release,"Electronic","Progressive House, Progressive Trance",https://i.discogs.com/vR2DHUyIqKcz46A4UFsZd07KqB7QcywX7iKCVpqbp9c/rs:fit/g:sm/q:90/h:602/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUwOTUy/My0xMzY3MTUzOTM3/LTE5NTEuanBlZw.jpeg
UK,"Star Power - X-Ray O.K.  (Remixes)",2000,"Vinyl,12","Stay Up Forever Remix, SRD, Geezer Studios",release,"Electronic","Techno, Acid",https://i.discogs.com/0LYrW_2eJXh7U9EjBiah_lwq-d4FC0yuOLW-DplJ08E/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk0MDk4/LTE0ODU1OTU4MDIt/ODMwOS5qcGVn.jpeg
UK,"Rockers Hi-Fi - Meet Ella Fitzgerald - Sunshine Of Your Love",2000,"Vinyl,12","Leftfoot Recordings",release,"Electronic","Downtempo, Trip Hop",https://i.discogs.com/s_BS7Wva1sZCKePqoz6F3QRAwbQV17abpn-eCEUj-Wo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMjUx/My0xMTYwNzY5MDQz/LmpwZWc.jpeg
UK,"J-Laze - Lucky Starz / Dreamz",2000,"Vinyl,12","Looking Good Records",release,"Electronic","Drum n Bass",https://i.discogs.com/drUeHbCmDc4fFOpFMvnlipVLpuKGWUO6GI0SgASwtkM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk2ODct/MTMwOTQ0MjAwOS5q/cGVn.jpeg
Germany,"Michael Langlois - Tiefseepicknick",2000,"Vinyl,12","Raum...musik",release,"Electronic","Dub Techno, Minimal",https://i.discogs.com/4wcqMGcv41BAmXQ1NzPT136fnggWDC24q1SBCB6xhbo/rs:fit/g:sm/q:90/h:434/w:440/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg4MzIt/MTE5MjUxMzEwNC5q/cGVn.jpeg
UK,"Various - Vessels",2000,"Vinyl,12","Planet Rhythm Records, G.W. Music, G.W. Music, Prime Distribution",release,"Electronic","Techno",https://i.discogs.com/dHam6b4wpzjHIgPH794EX0igJkfZ0Jk5D-oavJ7TsPg/rs:fit/g:sm/q:90/h:457/w:457/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNDA1/LTEyMDA3NTQ0NzIu/anBlZw.jpeg
UK,"Major Force - The Re-Return Of The Original Art-Form",2000,"Vinyl,12","Mo Wax",release,"Electronic, Hip Hop","Breaks, Hip Hop, Cut-up/DJ",https://i.discogs.com/KtgpJaUoPMitkeBCXcgVSifq-Ng2cUMXFQ5CCVQuxVc/rs:fit/g:sm/q:90/h:250/w:250/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMTk1/MTYtMTMwMzg4MzI4/Ny5qcGVn.jpeg
UK,"Smog - Strayed",2000,"Vinyl,7","Domino, Domino Recording Co. Ltd.",release,"Rock","Alternative Rock, Folk Rock, Lo-Fi",https://i.discogs.com/EH4PNzZ3bLu4JOL-GNj6wGbhkmJLoIJ2qQosbqcsykY/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcwNzY3/My0xNjEwOTIzNTAx/LTMyMjMuanBlZw.jpeg
Germany,"Construction Kids - Snapshotz",2000,"Vinyl,12","Choke Music",release,"Electronic","Tech House",https://i.discogs.com/FEvfcXbAORneCbCL9K1MW13-p4mRbFAja2SYUGsPwoY/rs:fit/g:sm/q:90/h:581/w:557/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0ODE4/LTEzNDcyMTk5OTAt/ODEzMy5qcGVn.jpeg
