country,name,year,format,label,type,genre,style,coverimage
UK,"Stocktonfoster / Lee Knights - Stocktonfoster/Lee Knights",2000,"Vinyl,"Audiolaceration, Phragment",release,"Electronic, Rock","Noise, Experimental, Drone",https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif
Austria,"Sugar B - I+I Produkt",2000,"Vinyl,LP,Vinyl,12","Dub Club, Dub Club",release,"Electronic","Dub, Downtempo",https://i.discogs.com/hBK6wwzQ46i6x_ZfUlIXraiNyo6mXdEbanjZaq42IoQ/rs:fit/g:sm/q:90/h:175/w:175/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMDY3/OC0xMjkxNjQ5NDA1/LmpwZWc.jpeg
Japan,"TM Network - Major Turn-Round",2000,"Vinyl,LP,Vinyl,7","Rojam Entertainment Limited, Record One, Los Angeles, Ocean Way Recording, Bernie Grundman Mastering",release,"Rock, Pop","Prog Rock, J-pop",https://i.discogs.com/zUXw5pYYSFdfM0PNO9GnuYKwuefwvciHG2rZkDX6BBE/rs:fit/g:sm/q:90/h:220/w:220/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNTgx/NDktMTMwODc1ODg2/OS5naWY.jpeg
UK, Europe & US,"Pamb - Backspinnin' Turbulence",2000,"Vinyl,"SOUR",release,"Electronic","Drum n Bass, Jungle",https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif
UK,"Dillinja - Cybotron",2000,"Vinyl,"Valve Recordings",release,"Electronic","Drum n Bass",https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif
Germany,"Oval - Ovalprocess",2000,"Vinyl,LP,Album,Vinyl,7","Form & Function, Zomba Records, Zomba Records, Zomba Records, Dubplates & Mastering",release,"Electronic","Abstract, Experimental",https://i.discogs.com/QYC2JkGt4EnXgYt5jyqbGd9jAE9gnccSwowWdujUzbY/rs:fit/g:sm/q:90/h:592/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU2NzEw/LTE2MjEwMjg2MjIt/MzE2OC5qcGVn.jpeg
Norway,"KA - '98 - '97",2000,"Vinyl,12",Vinyl,10",Vinyl,7","[OHM] Records",release,"Electronic","Experimental, Ambient",https://i.discogs.com/kgXzYCMTHSGgV3N13C09lhIhA0vKqiy1JJsF34EJa1E/rs:fit/g:sm/q:90/h:498/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1OTY0/OS0xMTUyNDgzODA2/LmpwZWc.jpeg
Europe,"Tocotronic Vs. Console - Freiburg V3.0",2000,"Vinyl,12","L'Age D'Or, Rock-O-Tronic Records, Payola, L'Age D'Or, Lado Musik GmbH, L'Age D'Or, Lado Musik GmbH, Gold Musikverlag, Soundgarden Tonstudio, Pauler Acoustics, Zomba, Hoanzl, Musikvertrieb AG, Konkurrent",release,"Electronic","Techno, Electro, Synth-pop",https://i.discogs.com/9jmSBam9iOEgE0R_aNRANnkBmJ6mr8_cb2HDmijzAC4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQyOTQz/LTExNTk4ODcyODIu/anBlZw.jpeg
Belgium,"Toneking* - Pneu",2000,"Vinyl,12","Clockwork Recordings, N.E.W.S., N.E.W.S.",release,"Electronic","Techno",https://i.discogs.com/uQSgvjiTaN9wL1l_8VKdo_G1cSdQqJIzd0Iy4Kv8a_w/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc5MjMy/LTExOTI0NjA1MDQu/anBlZw.jpeg
France,"Vibration Inc II* - Loop Of Drum",2000,"Vinyl,12","Basic Traxx Recordings",release,"Electronic","Tribal House",https://i.discogs.com/Q-LyASiSaIOH3aD_k67pnTiY0ruzmB2Bmk4Wz74t8FU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwOTQy/NC0xNjUzMTYzMjQ2/LTk3ODkuanBlZw.jpeg
