country,name,year,format,label,type,genre,style,coverimage
"Europe","Max Sommerhalder, Mario Venzago - Musique Romantique Russe Pour Trompette",1980,"Vinyl","Accord","release","Classical","Romantic","https://i.discogs.com/dLXhPtDkhoyESPFug1dllW5BeBSRHVsrIojE-lzsHqY/rs:fit/g:sm/q:90/h:611/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4NjYw/MDItMTQ4OTUxMzQx/MS0yMTgyLmpwZWc.jpeg"
"US","Machingbyrd - The Road To Forbidden Ecstacy",1980,"Vinyl","Narrow Mountain Records,Artless Dodger","release","Rock,Pop,Folk, World, & Country","","https://i.discogs.com/w5VtbQ27Sw7vxkGPffruC7dvN9Ew4BgwlQW5qEudWFk/rs:fit/g:sm/q:90/h:449/w:452/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3ODg1/MTktMTM0NjEwNDQ2/Ni05NTQwLmpwZWc.jpeg"
"Netherlands","UB40 - Signing Off",1980,"Vinyl","Graduate Records,Graduate Records,Graduate Records,Graduate Records,Graduate Records,New Claims,ATV Music,Bob Lamb's Home Of The Hits,The Music Centre, Wembley","release","Reggae","Dub","https://i.discogs.com/MW7Pg7ahBvzswS2viW8S5Nv74AzAoGLCvMPTNs1Vdck/rs:fit/g:sm/q:90/h:396/w:400/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczNjQx/MjMtMTQzOTg2NzAz/MC01MjIwLmpwZWc.jpeg"
"US","Grandmothers* - An Anthology Of Previously Unreleased Recordings By Ex-Members Of The Mothers Of Invention",1980,"Vinyl","Rhino Records,Rhino Records Inc.,Rhino Records Inc.,Mad Dog Studios,Greg Lee Processing","release","Jazz,Rock,Blues","Avantgarde,Blues Rock,Jazz-Rock,Harmonica Blues","https://i.discogs.com/NdAESZ84CSWJn0C2T6EX_m02W6XdPZcQxLYkslXV-H4/rs:fit/g:sm/q:90/h:603/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NDAy/MjktMTYyNTYzMDE3/MS0zNTUxLmpwZWc.jpeg"
"US","Etta James - Changes",1980,"Vinyl","T-Electric,MCA Records,Sansu Enterprises Inc.,Sea-Saint Studio,Sigma Sound Studios, New York,Frankford/Wayne Mastering Labs,T Electric Records, Inc.,T Electric Records, Inc.,MCA Records, Inc.,MCA Records, Inc.","release","Funk / Soul","Soul,Funk,Disco","https://i.discogs.com/ed-YyT189NGiLgfH5FcDTYOgWkQOtY-urJMNxkCD49U/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU1MTI0/My0xMzU4NDIzNDM2/LTc4NTcuanBlZw.jpeg"
"UK","Bad Manners - Ne-Ne-Na-Na-Na-Na-Nu-Nu",1980,"Vinyl","Magnet","release","Rock","Ska","https://i.discogs.com/XFLtiwqcRDVtmHt67C8KXQeugiZ4ImstwSA5zDXHFPU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg0NTc3/MS0xMjQ1NzI4NzI2/LmpwZWc.jpeg"
"UK","Inner City Unit - Pass Out",1980,"Vinyl","Riddle Records,UK Pro Studios, Shepherds Bush","release","Rock","Garage Rock,Punk,Ska","https://i.discogs.com/U8G_ol_f0iVHnlsNUDIfNcJrTF0omiGrdH-oI4_4zK8/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0OTM1/MjEtMTUxNTg0NDIx/NC03MTE2LmpwZWc.jpeg"
"UK","Steppenwolf - Born To Be Wild",1980,"Vinyl","MCA Records","release","Rock","Classic Rock","https://i.discogs.com/fNw_ONeLpkPzoL7ltCfbZ0JRJgZy09ducOZG2veRiJQ/rs:fit/g:sm/q:90/h:565/w:567/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUzOTQ0/Mi0xMjc5MDUzMjMw/LmpwZWc.jpeg"
"UK","The Photos - Irene + Barbarellas",1980,"Vinyl","Epic","release","Rock","New Wave","https://i.discogs.com/lgudR6OsEVvvuUpjZPqMZNBRNhoO2OFFxYAUaScy-n0/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyODI5/NzQtMTUzNDkzNzcy/Mi02NDU5LmpwZWc.jpeg"
"US","Dow Jones & The Industrials* / The Gizmos - Hoosier Hysteria!",1980,"Vinyl","Gulcher Records","release","Electronic,Rock","Alternative Rock,Punk,Experimental","https://i.discogs.com/F8cuSUMEtZb97MKeBvCrTEbsw1nkQHQiiGrNnYXX4a0/rs:fit/g:sm/q:90/h:601/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2NjYz/NzktMTUyMjQ2OTQ0/My02MDUzLmpwZWc.jpeg"
