country,name,year,format,label,type,genre,style,coverimage
"Germany","Unleashed - Viking Raids (1991-2004 - Best Of Unleashed)",2010,"Vinyl","Animate Records","release","Rock","Death Metal","https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif"
"Belgium","Aeroplane (4) - We Can't Fly",2010,"Vinyl","Eskimo Recordings","release","Electronic","House,Disco","https://st.discogs.com/f490776157429a515150d59c9658456e38ad2ddf/images/spacer.gif"
"US","Debbie Jacobs - Don't You Want My Love",2010,"Vinyl","MCA Records","release","Electronic","Disco","https://i.discogs.com/m1ZYgrCV-s1mlHbVNeCwPvM8pXo6Imlznr4eHQpJ3KE/rs:fit/g:sm/q:90/h:238/w:240/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4MzQ4/NjgtMTM1MTE1Mzk4/Ni0zMjc0LmpwZWc.jpeg"
"Germany","Marcel Fengler - Enigma",2010,"Vinyl","Ostgut Ton,Ostgut Ton,Ostgut Ton,Dubplates & Mastering,Kompakt Distribution","release","Electronic","Techno","https://i.discogs.com/RKAtAlIHjk5yyWs9DEd8C1127jO502ctY0ehW5tSGGA/rs:fit/g:sm/q:90/h:574/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NzMy/OTMtMTI4NjAyMTQ5/MC5qcGVn.jpeg"
"France","Circulation (2) - Patterins",2010,"Vinyl","P&D,Celebrate Records GmbH","release","Electronic","Deep House","https://i.discogs.com/To-Ef2hsn-h4QNrNKZGURv8d64JFW3yup15hC1c-XZg/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NTQz/MDgtMTI5MDE4ODI4/MC5qcGVn.jpeg"
"Germany","Vinalog - Relative 002",2010,"Vinyl","Relative","release","Electronic","House,Tech House","https://i.discogs.com/kXu7EUkgar2cJEd7vMz2ml4RdbV5q_MisWXQjCVvrz0/rs:fit/g:sm/q:90/h:169/w:176/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMjU1/OTMtMTI3NzA1NjMz/Ni5wbmc.jpeg"
"Germany","Boys Noize - 1010 / Yeah",2010,"Vinyl","Boysnoize Records,Copyright Control,Boysnoize Records,Boysnoize Records","release","Electronic","Electro,Tech House,Disco","https://i.discogs.com/lTvZTO5jwHRgoejQGEjhBiX_knOYTnDyBI8nKRZZ99k/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0MzMw/MDQtMTI5NTY0MzY4/Ni5qcGVn.jpeg"
"US","Brendan Kelly (3) and Joe McMahon (2) - Wasted Potential",2010,"Vinyl","Anchorless Records","release","Rock","Acoustic,Punk","https://i.discogs.com/stqpJpf1-VXrH4L4CKk4uEyu1nXnPSaog1LGUx5iaYc/rs:fit/g:sm/q:90/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2OTg1/NTEtMTI5NzAzMzk5/Mi5qcGVn.jpeg"
"US","Art Museums - Rough Frame",2010,"Vinyl","Woodsist","release","Rock","New Wave,Lo-Fi,Indie Rock","https://i.discogs.com/sF5PdugBABp_vcfOMKckewx7AzGN3rS06q-nngRsi-0/rs:fit/g:sm/q:90/h:361/w:360/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0MDIy/MTAtMTI4MjAwNTM5/Mi5qcGVn.jpeg"
"Australia","Mondo Generator - Dog Food",2010,"Vinyl","Impedance Records,Main Street Studios","release","Rock","Stoner Rock","https://i.discogs.com/qRuumunBlrjAGkpQmdCVqMSX5snB87lc33mJK5qR-nM/rs:fit/g:sm/q:90/h:592/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMTQ2/NzktMTUyNjA2NTc1/NC04NTcyLmpwZWc.jpeg"
